Index,Traveler Type,Wellness/Therapeutic,Rewards Me/Badges of Value,Sensory Appeal,Belonging/Connection,New Experiences,Self-Actualization,Memories/Variety,Fun & Entertainment
0,Wellness Retreat ,5,4,4,2,2,2.5,0.5,1.5
1,Family & Friends ,2,1,1,5,1.5,0.5,4,3
2,Broadening Horizons ,1.5,0.5,0.5,1.5,4,3.5,5,1.5
3,Cultural Immersion ,0.5,2.5,1,2,4,5,4,1
4,Escape the Cold ,3,4,5,2,2.5,2,1.5,2.5
5,Insta-Worthy ,2.5,1,1,0.5,3,2,4,2
6,Partier ,1.5,1.5,2,3,1.5,1.5,3,5
7,Relaxation Getaway ,4,5,3,0.5,1.5,2,1.5,1
8,Event Goers ,1.5,1.5,1.5,3,3,1,0.5,5
9,Be Spontaneous ,2,2.5,1,1.5,4,1,3,5
10,Outdoor Adventure ,1.5,1.5,1,0.5,5,2.5,4,3
11,Extend Stay,0.5,4,2.5,2.5,0.5,0.5,1,1.5
12,Luxury Upgrade,2,5,1,0.5,0.5,1,0.5,2.5
13,Sightseeing,1,2,1.5,2.5,4,1.5,4,3
14,High Tech,2,1,1.5,2.5,5,0.5,2,2.5
15,Veteran,0.5,1.5,1.5,0.5,2.5,2.5,2.5,2
16,Road Weary,2.5,1.5,2,2,1.5,1,2,0.5
